Unique_ID	Treaty	provision	actorholder	action	actoraffected
CBD_M001	CBD	CBD, Article 3	Contracting Party	Liberty: May exploit its own resources pursuant to its own environmental policies (sovereign right).	Other Contracting Parties
CBD_M002	CBD	CBD, Article 3	Contracting Party	Duty: Shall ensure activities within its jurisdiction or control do not cause damage to the environment of other States or of areas beyond national jurisdiction.	Other Contracting Parties
CBD_M003	CBD	CBD, Article 5	Contracting Party	Duty: Shall cooperate with other Parties (and, as appropriate, relevant organizations) for conservation and sustainable use of biological diversity.	Other Contracting Parties; Relevant Bodies
CBD_M004	CBD	CBD, Article 6(a)	Contracting Party	Duty: Shall develop national strategies, plans or programmes for the conservation and sustainable use of biological diversity.	Other Contracting Parties
CBD_M005	CBD	CBD, Article 6(b)	Contracting Party	Duty: Shall integrate conservation and sustainable use into relevant sectoral or cross-sectoral plans, programmes and policies.	Other Contracting Parties
CBD_M006	CBD	CBD, Article 7(a)	Contracting Party	Duty: Shall identify components of biological diversity important for conservation and sustainable use.	Other Contracting Parties
CBD_M007	CBD	CBD, Article 7(b)	Contracting Party	Duty: Shall monitor, through sampling and other techniques, components requiring urgent conservation measures and those offering the greatest potential for sustainable use.	Other Contracting Parties
CBD_M008	CBD	CBD, Article 7(c)	Contracting Party	Duty: Shall identify processes and categories of activities likely to have significant adverse impacts on conservation and sustainable use and monitor their effects.	Other Contracting Parties
CBD_M009	CBD	CBD, Article 7(d)	Contracting Party	Duty: Shall maintain and organize data, derived from identification and monitoring activities, for use in decision-making.	Other Contracting Parties
CBD_M010	CBD	CBD, Article 8(a)	Contracting Party	Duty: Shall establish a system of protected areas or areas where special measures are needed to conserve biological diversity.	Other Contracting Parties
CBD_M011	CBD	CBD, Article 8(b)	Contracting Party	Duty: Shall develop, where necessary, guidelines for the selection, establishment and management of protected areas or areas where special measures are needed.	Other Contracting Parties
CBD_M012	CBD	CBD, Article 8(c)	Contracting Party	Duty: Shall regulate or manage biological resources important for conservation whether within or outside protected areas, to ensure conservation and sustainable use.	Other Contracting Parties
CBD_M013	CBD	CBD, Article 8(d)	Contracting Party	Duty: Shall promote protection of ecosystems, natural habitats and maintenance of viable populations of species in natural surroundings.	Other Contracting Parties
CBD_M014	CBD	CBD, Article 8(e)	Contracting Party	Duty: Shall promote environmentally sound and sustainable development in areas adjacent to protected areas to further their protection.	Other Contracting Parties
CBD_M015	CBD	CBD, Article 8(f)	Contracting Party	Duty: Shall rehabilitate and restore degraded ecosystems and promote recovery of threatened species.	Other Contracting Parties
CBD_M016	CBD	CBD, Article 8(g)	Contracting Party	Duty: Shall establish or maintain means to regulate, manage or control risks associated with the use and release of living modified organisms resulting from biotechnology.	Other Contracting Parties
CBD_M017	CBD	CBD, Article 8(h)	Contracting Party	Duty: Shall prevent the introduction of, control or eradicate alien species which threaten ecosystems, habitats or species.	Other Contracting Parties
CBD_M018	CBD	CBD, Article 8(i)	Contracting Party	Duty: Shall endeavour to provide the conditions needed for compatibility between present uses and the conservation of biological diversity and the sustainable use of its components.	Other Contracting Parties
CBD_M019	CBD	CBD, Article 8(j)	Contracting Party	Duty: Shall respect, preserve and maintain TK, innovations and practices of IPLCs relevant for conservation and sustainable use, promote wider application with approval and involvement, and encourage equitable benefit-sharing.	IPLCs
CBD_M020	CBD	CBD, Article 8(k)	Contracting Party	Duty: Shall develop or maintain necessary legislation and/or other regulatory provisions for the protection of threatened species and populations.	Other Contracting Parties
CBD_M021	CBD	CBD, Article 8(l)	Contracting Party	Duty: Shall regulate or manage relevant processes and categories of activities where significant adverse effects have been determined.	Other Contracting Parties
CBD_M022	CBD	CBD, Article 9(a)	Contracting Party	Duty: Shall adopt measures for ex situ conservation of components of biological diversity, preferably in the country of origin.	Other Contracting Parties
CBD_M023	CBD	CBD, Article 9(b)	Contracting Party	Duty: Shall establish and, where appropriate, maintain ex situ facilities for conservation and research.	Other Contracting Parties
CBD_M024	CBD	CBD, Article 9(c)	Contracting Party	Duty: Shall adopt measures for the recovery and reintroduction of threatened species into their natural habitats.	Other Contracting Parties
CBD_M025	CBD	CBD, Article 9(d)	Contracting Party	Duty: Shall regulate and manage collection of biological resources from natural habitats for ex situ conservation to avoid threats to ecosystems and in situ populations.	Other Contracting Parties
CBD_M026	CBD	CBD, Article 9(e)	Contracting Party	Duty: Shall cooperate in providing financial and other support for ex situ conservation and research.	Other Contracting Parties
CBD_M027	CBD	CBD, Article 10(a)	Contracting Party	Duty: Shall integrate consideration of conservation and sustainable use of biological resources into national decision-making.	Other Contracting Parties
CBD_M028	CBD	CBD, Article 10(b)	Contracting Party	Duty: Shall adopt measures relating to the use of biological resources to avoid or minimize adverse impacts on biological diversity.	Other Contracting Parties
CBD_M029	CBD	CBD, Article 10(c)	Contracting Party	Duty: Shall protect and encourage customary use of biological resources in accordance with traditional cultural practices that are compatible with conservation and sustainable use.	IPLCs
CBD_M030	CBD	CBD, Article 10(d)	Contracting Party	Duty: Shall support local populations to develop and implement remedial action in degraded areas where biological diversity has been reduced.	Stakeholders
CBD_M031	CBD	CBD, Article 10(e)	Contracting Party	Duty: Shall encourage cooperation between governmental authorities and the private sector in developing sustainable use methods.	Private Sector
CBD_M032	CBD	CBD, Article 11	Contracting Party	Duty: Shall adopt economically and socially sound measures that act as incentives for the conservation and sustainable use of components of biological diversity.	Other Contracting Parties
CBD_M033	CBD	CBD, Article 12(a)	Contracting Party	Duty: Establish and maintain programmes for scientific and technical education and training; provide support for developing countries' needs.	Developing States
CBD_M034	CBD	CBD, Article 12(b)	Contracting Party	Duty: Promote and encourage research contributing to conservation and sustainable use, particularly in developing countries.	Developing States
CBD_M035	CBD	CBD, Article 12(c)	Contracting Party	Duty: Promote and cooperate in using scientific advances to develop methods for conservation and sustainable use, consistent with Articles 16, 18 and 20.	Other Contracting Parties
CBD_M036	CBD	CBD, Article 13(a)	Contracting Party	Duty: Promote and encourage public understanding and education on biodiversity conservation, including via media and curricula.	Stakeholders
CBD_M037	CBD	CBD, Article 13(b)	Contracting Party	Duty: Cooperate with other States and international organizations in educational and public awareness programmes.	Other Contracting Parties; Relevant Bodies
CBD_M038	CBD	CBD, Article 14(1)(a)	Contracting Party	Duty: Introduce EIA procedures for proposed projects likely to have significant adverse effects, with public participation where appropriate.	Stakeholders
CBD_M039	CBD	CBD, Article 14(1)(b)	Contracting Party	Duty: Ensure environmental consequences of programmes and policies likely to have significant adverse impacts are duly taken into account.	Other Contracting Parties
CBD_M040	CBD	CBD, Article 14(1)(c)	Contracting Party	Duty: Promote, on the basis of reciprocity, notification, exchange of information and consultation on activities likely to affect biodiversity of other States or ABNJ.	Other Contracting Parties
CBD_M041	CBD	CBD, Article 14(1)(d)	Contracting Party	Duty: In case of imminent or grave danger or damage to biodiversity in other States or ABNJ originating under its jurisdiction/control, notify immediately potentially affected States and initiate action to prevent/minimize.	Other Contracting Parties
